Row Labels,Abandoned,Chemicals,Dumped,General garbage,Land Based Source,Lost during fishing,Metals,Oil splillages and leakages,Plastics,Waste Oils
Cook Islands,3,0,6,4,0,0,0,0,19,0
Fiji,0,1,0,6,1,0,5,0,63,6
Kiribati,8,13,29,68,1,3,89,0,295,63
Line Group,2,0,0,1,0,0,0,0,3,1
Marshall Islands,2,8,9,45,1,1,52,0,226,19
Micronesia,9,11,29,94,4,3,164,0,448,55
Nauru,3,7,11,36,2,2,62,0,161,35
Northern Mariana Islands and Guam,0,0,0,1,0,0,3,0,5,1
Palau,0,1,1,2,0,0,5,0,39,3
Papua New Guinea,18,91,43,287,62,4,573,5,1194,481
Phoenix Group,2,0,5,5,0,0,6,0,32,2
Samoa,0,0,1,1,0,0,1,0,1,0
Solomon Islands,2,6,9,37,0,0,90,0,220,50
Tokelau,0,0,1,0,0,0,8,0,4,0
Tonga,0,0,0,0,0,0,0,0,13,0
Tuvalu,3,2,7,19,0,0,18,0,63,9
Vanuatu,0,0,0,1,0,0,0,0,28,5
